sensor_id,sensor_type,location,lat,lon,timestamp,value_type,value
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P1,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P0,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P2,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P1,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P0,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P2,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P1,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P0,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P2,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P1,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P0,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P2,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P1,1
4962,pms5003,76,-1.261,36.782,2026-05-01T00:34:51+00:00,P0,1
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,humidity,99.9
4963,DHT22,76,-1.261,36.782,2026-05-01T00:34:53+00:00,temperature,16.8
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P2,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P1,1
4976,pms5003,76,-1.261,36.782,2026-05-01T00:40:01+00:00,P0,0
4977,DHT22,76,-1.261,36.782,2026-05-01T00:40:03+00:00,humidity,99.9
4977,DHT22,76,-1.261,36.782,2026-05-01T00:40:03+00:00,temperature,17.2
