location,timestamp,P0,P1,P2,humidity,temperature
76,2026-01-03 22:00:00+00:00,11.8,24.75,21.95,88.19500000000001,19.265
76,2026-01-03 23:00:00+00:00,11.45,23.95,20.95,89.225,19.119999999999997
76,2026-01-04 00:00:00+00:00,10.8,23.15,21.15,91.075,18.67
76,2026-01-04 01:00:00+00:00,11.777777777777779,25.61111111111111,22.5,92.56666666666666,18.038888888888888
76,2026-01-04 02:00:00+00:00,14.142857142857142,30.428571428571427,26.357142857142858,93.36428571428571,17.507142857142856
76,2026-01-04 03:00:00+00:00,17.8,32.6,29.8,93.52000000000001,17.6
76,2026-01-04 04:00:00+00:00,17.333333333333332,34.733333333333334,29.866666666666667,79.65333333333334,21.293333333333333
76,2026-01-04 05:00:00+00:00,10.7,18.7,17.2,46.839999999999996,31.3
76,2026-01-04 06:00:00+00:00,8.166666666666666,15.666666666666666,13.833333333333334,38.31666666666667,33.766666666666666
76,2026-01-04 11:00:00+00:00,8.2,14.7,13.4,53.98,29.24
76,2026-01-04 12:00:00+00:00,7.1,12.8,11.9,48.955555555555556,30.866666666666667
76,2026-01-04 13:00:00+00:00,7.2,13.5,12.1,49.58,30.410000000000004
76,2026-01-04 14:00:00+00:00,7.454545454545454,13.090909090909092,11.909090909090908,53.025,27.733333333333334
76,2026-01-04 15:00:00+00:00,9.352941176470589,17.529411764705884,15.529411764705882,62.05555555555556,24.272222222222222
76,2026-01-04 16:00:00+00:00,12.047619047619047,22.38095238095238,19.80952380952381,71.18095238095238,22.85238095238095
76,2026-01-04 17:00:00+00:00,11.476190476190476,22.61904761904762,19.476190476190474,74.27619047619048,22.04285714285714
76,2026-01-04 18:00:00+00:00,13.3,25.5,22.2,76.07000000000001,21.604999999999997
76,2026-01-04 19:00:00+00:00,17.095238095238095,31.666666666666668,28.095238095238095,79.67619047619048,21.066666666666666
76,2026-01-04 20:00:00+00:00,17.75,31.85,28.35,81.705,20.61
76,2026-01-04 21:00:00+00:00,13.333333333333334,25.0,22.19047619047619,80.83809523809524,20.4
76,2026-01-04 22:00:00+00:00,10.75,21.4,18.3,79.475,19.759999999999998
76,2026-01-04 23:00:00+00:00,9.047619047619047,18.857142857142858,16.333333333333332,80.51904761904763,19.061904761904763
76,2026-01-05 00:00:00+00:00,11.523809523809524,23.714285714285715,20.666666666666668,84.3047619047619,18.47142857142857
76,2026-01-05 01:00:00+00:00,13.95,27.65,23.9,88.05499999999999,17.9
76,2026-01-05 02:00:00+00:00,15.6,27.75,24.35,88.135,17.43
76,2026-01-05 03:00:00+00:00,19.470588235294116,33.529411764705884,29.705882352941178,88.47647058823529,17.13529411764706
76,2026-01-05 04:00:00+00:00,21.785714285714285,35.5,32.0,69.61428571428571,21.271428571428572
76,2026-01-05 05:00:00+00:00,12.2,21.4,19.3,41.68,31.939999999999998
76,2026-01-05 06:00:00+00:00,7.166666666666667,13.0,11.5,33.166666666666664,35.98333333333333
76,2026-01-05 09:00:00+00:00,5.0,12.0,11.0,51.8,26.1
76,2026-01-05 10:00:00+00:00,6.428571428571429,14.428571428571429,12.714285714285714,51.58571428571429,26.157142857142855
76,2026-01-05 11:00:00+00:00,7.5,13.4,12.0,47.2,27.72
76,2026-01-05 12:00:00+00:00,6.4,12.7,11.2,42.68,29.959999999999997
76,2026-01-05 13:00:00+00:00,8.3,14.4,13.1,44.78,30.1
76,2026-01-05 14:00:00+00:00,9.666666666666666,18.333333333333332,15.666666666666666,48.9,27.26
76,2026-01-05 15:00:00+00:00,11.125,18.8125,16.5,53.3125,23.66875
76,2026-01-05 16:00:00+00:00,10.25,18.05,15.75,57.94,22.23
76,2026-01-05 17:00:00+00:00,10.5,18.05,16.15,60.715789473684204,21.173684210526318
76,2026-01-05 18:00:00+00:00,15.2,26.15,23.25,66.39,20.21
76,2026-01-05 19:00:00+00:00,18.857142857142858,31.285714285714285,28.428571428571427,69.7,19.757142857142856
76,2026-01-05 20:00:00+00:00,18.666666666666668,32.19047619047619,28.523809523809526,70.34761904761905,19.404761904761905
76,2026-01-05 21:00:00+00:00,15.55,27.0,23.9,71.615,18.93
76,2026-01-05 22:00:00+00:00,12.55,22.55,19.9,73.45,18.25
76,2026-01-05 23:00:00+00:00,9.1,16.75,14.4,73.035,17.765
76,2026-01-06 00:00:00+00:00,7.9,14.8,12.85,72.96000000000001,17.259999999999998
76,2026-01-06 01:00:00+00:00,5.8125,11.5625,9.6875,73.38125,16.6125
76,2026-01-06 02:00:00+00:00,8.2,14.866666666666667,12.866666666666667,76.08,15.733333333333333
76,2026-01-06 03:00:00+00:00,14.9,22.7,20.8,77.66,15.51
76,2026-01-06 04:00:00+00:00,22.333333333333332,35.0,30.666666666666668,80.6,15.4
76,2026-01-06 10:00:00+00:00,5.333333333333333,11.666666666666666,9.666666666666666,46.23333333333333,26.8
76,2026-01-06 11:00:00+00:00,4.7,9.9,7.9,45.71,27.189999999999998
76,2026-01-06 12:00:00+00:00,5.8,11.1,9.6,42.13,29.85
76,2026-01-06 13:00:00+00:00,6.7272727272727275,11.454545454545455,10.272727272727273,44.230000000000004,29.46
76,2026-01-06 14:00:00+00:00,7.2727272727272725,12.727272727272727,11.363636363636363,47.95384615384615,27.446153846153848
76,2026-01-06 15:00:00+00:00,8.2,14.8,12.9,53.972727272727276,23.781818181818185
76,2026-01-06 16:00:00+00:00,11.3,20.5,18.05,58.675,22.205000000000002
76,2026-01-06 17:00:00+00:00,17.142857142857142,31.857142857142858,26.80952380952381,63.75714285714286,21.138095238095236
76,2026-01-06 18:00:00+00:00,15.05,27.2,24.3,68.67999999999999,20.240000000000002
76,2026-01-06 19:00:00+00:00,16.95,30.05,25.8,73.39500000000001,19.39
76,2026-01-06 20:00:00+00:00,12.047619047619047,21.61904761904762,18.952380952380953,73.38095238095238,19.223809523809525
76,2026-01-06 21:00:00+00:00,6.571428571428571,12.952380952380953,10.761904761904763,75.00952380952381,18.82857142857143
76,2026-01-06 22:00:00+00:00,6.15,12.25,10.2,77.095,18.19
76,2026-01-06 23:00:00+00:00,5.7,11.2,9.25,79.65,17.565
76,2026-01-07 00:00:00+00:00,5.863636363636363,11.954545454545455,10.318181818181818,80.48636363636363,17.16363636363636
76,2026-01-07 01:00:00+00:00,5.4,11.8,9.05,82.12,16.515
76,2026-01-07 02:00:00+00:00,6.4,11.3,9.85,81.5,16.119999999999997
76,2026-01-07 03:00:00+00:00,15.411764705882353,23.11764705882353,21.41176470588235,80.06470588235294,16.34705882352941
76,2026-01-07 04:00:00+00:00,17.0,25.25,24.5,84.55,15.925
76,2026-01-07 07:00:00+00:00,6.333333333333333,9.666666666666666,9.0,58.166666666666664,22.066666666666666
76,2026-01-07 08:00:00+00:00,7.0,13.333333333333334,12.166666666666666,54.51666666666667,23.316666666666666
76,2026-01-07 09:00:00+00:00,5.666666666666667,10.0,10.0,53.166666666666664,24.96666666666667
76,2026-01-07 10:00:00+00:00,5.5,11.0,9.5,50.650000000000006,26.85
76,2026-01-07 11:00:00+00:00,6.909090909090909,13.090909090909092,11.727272727272727,49.56363636363637,27.818181818181817
76,2026-01-07 12:00:00+00:00,6.7,12.9,11.4,43.980000000000004,31.0
